index,x_min,x_max,y_min,y_max
0,685.9471862576144,855.6528137423858,483.84718625761434,653.5528137423858
1,1780.2588745030457,1848.1411254969544,351.45887450304576,419.3411254969543
2,64.75887450304572,132.6411254969543,760.3588745030457,828.2411254969544
3,643.6471862576143,813.3528137423857,192.4471862576143,362.1528137423857
4,1615.7588745030457,1683.6411254969544,309.15887450304575,377.0411254969543
5,927.4766235091371,1131.1233764908627,-7.823376490862842,195.82337649086284
6,2107.429437251523,2141.3705627484774,387.2294372515228,421.17056274847715
7,1905.3294372515231,1939.2705627484772,349.62943725152286,383.5705627484772
8,1413.6588745030458,1481.5411254969545,224.55887450304573,292.44112549695427
9,2184.458874503046,2252.341125496954,1192.7588745030457,1260.6411254969544
10,1463.529437251523,1497.470562748477,504.7294372515229,538.6705627484772
11,1468.229437251523,1502.170562748477,213.32943725152288,247.27056274847715
12,1642.129437251523,1676.0705627484772,420.12943725152286,454.0705627484772
13,1665.629437251523,1699.5705627484772,387.2294372515228,421.17056274847715
14,1125.129437251523,1159.0705627484772,443.62943725152286,477.5705627484772
15,1848.929437251523,1882.8705627484771,438.92943725152287,472.8705627484772
16,1665.629437251523,1699.5705627484772,260.32943725152285,294.2705627484772
17,1237.929437251523,1271.8705627484771,81.72943725152285,115.67056274847715
18,1352.5588745030457,1420.4411254969543,1183.3588745030456,1251.2411254969543
19,1957.029437251523,1990.970562748477,340.2294372515228,374.17056274847715
20,1472.929437251523,1506.8705627484771,307.32943725152285,341.2705627484772
21,549.6471862576143,719.3528137423857,1024.3471862576143,1194.0528137423858
22,1390.1588745030458,1458.0411254969545,318.55887450304573,386.44112549695427
23,1272.6588745030458,1340.5411254969545,1032.9588745030458,1100.8411254969544
24,1841.3588745030459,1909.2411254969545,628.7588745030457,696.6411254969544
25,912.5883117545686,1014.4116882454314,1124.0883117545686,1225.9116882454314
26,1999.3294372515231,2033.2705627484772,744.4294372515228,778.3705627484771
27,1834.8294372515231,1868.7705627484772,565.8294372515229,599.7705627484772
28,1538.729437251523,1572.670562748477,293.2294372515228,327.17056274847715
29,1895.929437251523,1929.8705627484771,438.92943725152287,472.8705627484772
30,238.65887450304575,306.5411254969543,1197.4588745030458,1265.3411254969544
31,1214.429437251523,1248.3705627484771,1299.029437251523,1332.970562748477
32,1413.6588745030458,1481.5411254969545,628.7588745030457,696.6411254969544
33,1484.1588745030458,1552.0411254969545,708.6588745030457,776.5411254969544
34,1524.629437251523,1558.5705627484772,382.52943725152284,416.47056274847716
35,2008.729437251523,2042.670562748477,697.4294372515228,731.3705627484771
36,1531.1588745030458,1599.0411254969545,403.15887450304575,471.0411254969543
37,562.9588745030456,630.8411254969543,111.75887450304573,179.64112549695432
38,1172.129437251523,1206.0705627484772,1139.229437251523,1173.170562748477
39,492.4588745030457,560.3411254969543,172.85887450304574,240.74112549695428
40,819.6294372515229,853.5705627484772,227.42943725152287,261.37056274847714
41,669.2294372515229,703.1705627484772,923.0294372515228,956.9705627484772
42,1317.829437251523,1351.770562748477,77.02943725152286,110.97056274847714
43,1313.129437251523,1347.0705627484772,1106.329437251523,1140.270562748477
44,1167.429437251523,1201.3705627484771,147.52943725152286,181.47056274847714
45,238.65887450304575,306.5411254969543,290.35887450304574,358.2411254969543
46,437.8883117545686,539.7116882454314,475.48831175456854,577.3116882454314
47,1947.629437251523,1981.5705627484772,894.8294372515229,928.7705627484772
48,2062.258874503046,2130.1411254969544,1098.7588745030457,1166.6411254969544
49,880.7294372515229,914.6705627484772,203.92943725152287,237.87056274847714
50,1232.1883117545688,1334.0116882454315,353.28831175456855,455.1116882454314
51,330.82943725152285,364.7705627484772,363.7294372515228,397.67056274847715
52,1378.929437251523,1412.8705627484771,899.5294372515228,933.4705627484772
53,158.75887450304572,226.64112549695432,1220.9588745030458,1288.8411254969544
54,1376.0588745030457,1443.9411254969543,139.9588745030457,207.8411254969543
55,2027.529437251523,2061.4705627484773,467.12943725152286,501.0705627484772
56,1961.729437251523,1995.670562748477,514.1294372515229,548.0705627484772
57,11.22943725152286,45.170562748477145,410.7294372515228,444.67056274847715
