mx_standard,my_standard,mz_standard,r_2_standard
8.598612182940683e-13,3.4683940790797657e-12,-3.941675537406223e-12,0.9990614039540482
-8.092357549662581e-14,-3.8461536604830683e-14,-7.103252504201349e-13,0.9977415385787956
2.2138107908105572e-12,-1.4734589446265054e-12,-1.7906320423149277e-12,0.9953106843796165
-6.8304594929169736e-15,9.046443886464663e-14,-8.658864709774335e-13,0.998795256490465
-3.092853110378665e-12,-1.0635268043173735e-12,-4.5145140307693075e-12,0.9994909821063053
1.8072437885614357e-12,3.725953611616765e-12,-3.5312752100182614e-12,0.9947421234508488
-1.7361794791537134e-13,-1.034719716151667e-13,-6.206526039547772e-13,0.9984472758621279
2.3158173008002464e-14,4.387520991201201e-13,-4.614001071795669e-12,0.9995095616443589
1.3265763250428047e-12,3.2748667463733925e-12,-1.208994135528382e-12,0.8858206256067948
-9.109905815858483e-13,1.403439860990015e-13,-9.970409951158722e-13,0.998079634060967
1.994516440314071e-12,3.1359541435551876e-12,-2.197643445877789e-12,0.9973557283011643
-1.8107660285836015e-13,7.891989075059153e-13,-2.624932043169258e-13,0.999256030764084
4.575474796082538e-13,1.1566408774610266e-12,-1.0260648671968373e-13,0.999533713618967
2.1376423279290323e-12,1.107349304273119e-12,-2.5086678005746256e-12,0.9921636581973292
-2.7124067872155903e-13,7.075007979232772e-13,-1.9155822467045778e-12,0.9977632321048394
-3.838057913195671e-13,9.297195983044435e-13,8.464281042293562e-14,0.9979097688945345
-6.563070730282896e-12,2.2754474840731556e-12,4.924118049348259e-12,0.9965160913628553
2.7360496755714453e-12,5.915956878535711e-13,-2.0704113244880917e-12,0.9959230877426757
2.090795423608942e-13,3.2528349292747596e-13,-4.112759524342836e-13,0.9986807487893263
9.375887398547166e-13,-5.330926926691575e-13,-1.735983089459395e-12,0.9993194851926507
2.806876164235563e-13,2.5832110703107684e-13,-4.25538313283077e-13,0.9951427339685541
