xmin,xmax,ymin,ymax,xc_iterative,yc_iterative,zc_iterative,mx_iterative,my_iterative,mz_iterative,r_2_iterative
1101.8316663179269,1149.4683336820733,998.4316663179268,1046.0683336820732,1125.223444588825,1021.7595543411211,-20.158251072763388,3.2970443754106503e-13,5.679290613336032e-13,1.806723822667729e-12,0.9974868749516649
746.7054682595847,813.6945317404154,72.25546825958459,139.24453174041543,774.4550098610583,106.54262675815339,-26.22188547739635,3.5342002637973764e-12,-1.5195962822964469e-13,3.760178718304996e-12,0.9925665566856405
1468.1554682595847,1535.1445317404155,1092.1554682595847,1159.1445317404155,1505.7644027431775,1122.916079033512,-21.61851924412368,-7.779949646440196e-13,3.900420984543651e-13,2.1511184774888065e-12,0.9659491017091162
265.23166631792685,312.86833368207317,577.7816663179268,625.4183336820732,291.415178314685,600.4761147859282,-11.042223536038989,-1.7997494516433982e-13,1.740214241137257e-13,3.9114636162370566e-13,0.9926836760889736
1877.607864376269,1905.892135623731,1158.507864376269,1186.7921356237312,1894.8695554552146,1171.2415181892495,-9.866554323876029,9.917286160765363e-14,-3.941389701976558e-14,-1.9384177186012723e-13,0.9942708630575912
1853.8316663179269,1901.4683336820733,1240.4816663179267,1288.1183336820732,1878.6079883354382,1263.5257823440468,-15.685652990205085,-1.7964826496723285e-14,2.952076931904483e-14,6.591556074467502e-13,0.9961942169536082
1793.007864376269,1821.2921356237312,1163.207864376269,1191.4921356237312,1805.64962476964,1174.8616019044075,-11.827456750920605,5.186467853594089e-14,1.2179225650203691e-13,2.7869178275791756e-13,0.9989774936769182
41.429270201242375,127.77072979875764,276.4292702012424,362.77072979875766,73.33952895094848,321.31166780673703,-43.10272897872038,6.48748302519598e-12,5.3576198261275625e-12,1.128974633007645e-11,0.9201428363971269
65.20546825958459,132.1945317404154,389.5054682595846,456.4945317404154,89.13329490441998,415.91395058417254,-36.37087551065307,6.485945873940121e-12,2.2485576907203233e-12,6.579385402869457e-12,0.9573126106810912
1240.757864376269,1269.0421356237312,1344.157864376269,1372.442135623731,1255.115767899612,1356.7900363694378,-15.22367270992656,-1.0869735196153977e-13,-2.8304017862558578e-14,5.406621687531308e-13,0.9973353142126918
914.107864376269,942.392135623731,1238.407864376269,1266.692135623731,927.3855937053534,1252.3860413870113,-13.90829432877713,-3.6703682577814717e-14,-3.846783051263211e-14,4.4665014105844486e-13,0.9960378715102801
871.3958837928468,1093.2041162071532,250.99588379284677,472.8041162071533,999.8209320670268,391.03341423438053,-100.80550703005633,-1.1121663265248551e-10,-8.56838348172009e-11,1.6967184024836927e-10,0.8251704141691103
373.60786437626905,401.89213562373095,1207.857864376269,1236.142135623731,385.43548499131157,1223.045654191763,-6.058478094915139,-1.5769964678245048e-13,-5.123349991325782e-14,-2.496569839404713e-14,0.9528488769191487
1682.557864376269,1710.842135623731,1268.957864376269,1297.2421356237312,1699.6536568865795,1282.0232042935695,-15.36851534614499,-2.0197712660213522e-13,1.6177912405140793e-13,4.249083770209147e-13,0.9735903316942528
789.5578643762691,817.842135623731,1330.057864376269,1358.342135623731,801.5049260661708,1340.2505410907638,-11.576697607522624,2.269770898609448e-13,5.879154199744313e-14,2.2481119315010512e-13,0.9425673876409557
1515.1554682595847,1582.1445317404155,826.6054682595847,893.5945317404154,1541.4435680381655,857.7913041721296,-35.27725514508299,2.4296692495507768e-12,6.71820534241177e-13,4.309842218382437e-12,0.9653707558212073
324.2578643762691,352.542135623731,704.9578643762691,733.242135623731,335.99464942619124,716.6302775331814,-12.182440582584245,6.336561584985685e-14,8.431139152535582e-14,2.418741165754776e-13,0.9887326820201645
1647.307864376269,1675.592135623731,693.2078643762691,721.492135623731,1660.955066032578,714.0016872320767,-15.799511770693634,-1.7687193536679934e-13,5.300555283057404e-13,-2.896098574749359e-13,0.9909544735146073
1421.4316663179268,1469.0683336820732,709.3816663179268,757.0183336820733,1439.1178799563177,732.7630427971468,-30.47611766478051,1.3786967962274392e-12,1.2083243144407535e-13,2.3199957331056238e-12,0.9844131538706273
1438.157864376269,1466.442135623731,164.45786437626904,192.74213562373095,1454.8605848190984,185.18602382022732,2.999478732395015,2.535110984957881e-15,6.600507501845275e-15,-2.9681694814600825e-15,0.35792335202386616
1278.357864376269,1306.642135623731,1320.657864376269,1348.942135623731,1291.079218624036,1336.1198826974714,-12.651736748182017,7.33797021480348e-15,9.418547757920257e-15,2.7177276507220823e-13,0.9930079463051696
1710.757864376269,1739.0421356237312,606.257864376269,634.5421356237309,1728.2852240076797,618.3032481387281,-14.362606574823888,-3.3079218016088217e-13,6.275822416414474e-14,2.5710371539115235e-13,0.9930194030069959
425.30786437626904,453.59213562373094,333.65786437626906,361.94213562373096,437.6905184640958,346.80673337910736,-0.46444097538442164,-8.237602629730428e-15,9.342943895372075e-15,-1.445714793225339e-14,0.9092382554315948
169.15786437626906,197.44213562373096,1337.107864376269,1365.392135623731,183.10476989717918,1350.4256171518502,-8.014954160666411,-3.2971347843891404e-15,2.8536014118321274e-14,9.116359672736369e-14,0.991145833300447
667.6386954427934,1005.5613045572067,644.1386954427934,982.0613045572067,830.7050732399839,818.0331160335272,-47.565868914416924,9.35996734444081e-12,-2.150963350140547e-12,1.9072172387769397e-11,-0.23462590463983668
1449.6316663179268,1497.2683336820733,824.5316663179268,872.1683336820732,1468.7878697059011,850.6801517013464,-15.524909404022614,-5.379795025865528e-13,-6.883912353511785e-14,-1.938441352860387e-13,0.969054614150691
