mx_iterative,my_iterative,mz_iterative,r_2_iterative
1.0529663894163223e-12,6.865491232395951e-13,5.68037545976733e-14,0.9999998300937685
5.773602522774782e-14,-6.64549980745827e-13,-1.0608652644653991e-12,0.9999896932671093
5.951102292704861e-13,7.873908903773737e-13,-6.20722955657238e-13,0.999989725904312
1.2732895481382314e-12,9.566499510241323e-13,-5.404852237106295e-13,0.9999874382188115
1.0882917293461568e-12,3.9951345814592715e-13,-5.016033235950239e-13,0.999893447058348
6.045239029092573e-13,7.354963897493088e-13,9.49107552402832e-13,0.9999913772386232
2.665764093645956e-13,5.239012097562115e-13,-7.683628329304816e-13,0.9997832673959491
5.966588243641428e-13,1.952173060108332e-12,-5.801433768070866e-13,0.9999539513706216
6.224971755563872e-13,3.739871487672951e-13,1.4172359826152387e-13,0.9978102238111249
7.809419505443234e-14,5.133581786981787e-13,2.0432123415099845e-13,0.9999943089756728
-2.727489628989951e-14,7.968977423960105e-13,-6.34173539603605e-14,0.9997537639630012
2.0320714065839125e-13,1.195753294077192e-13,-1.9008109569122587e-13,0.995905123558923
2.007244281579897e-13,-1.23440687757081e-14,-5.895490996292035e-14,0.9999294672728534
-4.1714396301815453e-13,2.6447039026993747e-12,-1.1178170646003744e-12,0.9987535487177912
6.685909053414203e-14,2.6709991670608345e-13,1.301737170368551e-13,0.9999652605824799
7.165851032826807e-16,-4.740099850606269e-14,-2.604475587506693e-13,0.9995385056420473
9.265848280119492e-13,-1.3686385242841162e-13,3.4107519396402536e-13,0.9724499003936499
1.5388173555481306e-12,-1.4764398898475494e-13,-1.2313706641031447e-12,0.9944561480085117
-1.4324239037723678e-13,2.36060587545976e-13,3.857323221721947e-13,0.947217111470971
1.8330063566036637e-13,1.817712104871908e-13,-2.665544569260745e-13,0.9998949613406879
1.3362160411026877e-12,1.1478945581981084e-12,-9.84431272640368e-15,0.982621702447166
2.0591076926020016e-13,8.426091009801486e-14,2.402635874956598e-13,0.9995927427337289
9.605345705223787e-14,-6.199408296472497e-14,-1.1864894229525974e-13,0.9989927538901401
2.772336697764157e-13,1.7819226595091905e-13,-3.5443255938460524e-14,0.9991583475442193
7.20178289863055e-14,7.124929969573257e-13,-2.4872201993827305e-13,0.9915511446567171
1.8041902633080087e-13,2.6628778297438566e-12,-1.079241197212624e-12,0.983046815057443
1.5237987055903126e-14,2.9470931028824584e-13,-9.84976244967319e-14,0.9992963427833474
3.207277771103142e-13,3.527318116766454e-13,-3.1736414423122105e-13,0.9999582711049427
3.138454917649182e-14,1.4182200257262684e-13,4.335196630902736e-14,0.9997776639173801
3.4631600943477253e-13,-5.233463644435232e-14,3.5058359170695387e-13,0.9999728391500761
4.6642030051141447e-14,-4.119611596761199e-15,-1.535060794068029e-13,0.9995127032956185
-8.305200066521692e-14,-4.290074387605878e-14,-2.46673690609784e-13,0.9998334010260325
-1.4571034846469128e-13,-5.5293158447692817e-14,2.892263690363428e-13,0.994565884191893
-3.158987756931041e-14,1.590712012330155e-14,-2.0099533563567943e-13,0.995229088867603
9.613534665029029e-14,6.457882879314769e-14,-1.0810618955349334e-13,0.9997208813267948
1.8390162768744088e-13,-5.342334809653693e-14,4.7752647787614406e-14,0.9982143026513224
-4.2598171817704333e-14,2.2585468334075286e-13,-8.064878833721127e-14,0.9995880439795382
2.0054320999977383e-13,6.058452066930218e-13,-2.1657974778078574e-13,0.9999749975479945
1.653145729581723e-13,4.4061606062908133e-13,-3.340903952474607e-13,0.9994654965819232
-9.83994306205687e-14,1.002803119950815e-13,-3.284021720332924e-13,0.997620417952683
1.879217131800216e-13,2.7865889754016465e-13,-1.3351863888369115e-13,0.9999489949447525
-3.6975104804398136e-13,-3.8030824461499596e-14,-4.050552601262535e-13,0.9957467609775952
8.702041517937507e-13,3.9191629554584146e-13,-1.7223337521533504e-13,0.9990306278735783
2.92742653289572e-13,5.132569298110628e-13,-3.7859376059902203e-13,0.999630473514418
7.789960740964395e-14,1.1443105325359518e-13,8.160124686103451e-14,0.9999779674818099
7.028668689911024e-14,1.2054135364166758e-13,-8.082387755935843e-14,0.9999094604182077
3.868469275308315e-13,2.956500631245183e-13,-4.042452833121558e-14,0.9957424903494021
7.181471141833352e-14,3.376396708268664e-13,1.9943110990324002e-14,0.9999233699753174
5.315875554591929e-14,7.982678220634089e-14,-1.0123433110999015e-13,0.9998978870329713
1.005449415014829e-13,4.667626301780098e-13,-2.4391694976970976e-13,0.995978821549071
2.818622565099768e-13,4.5288150364539697e-13,-1.4199675237617145e-13,0.9897912196010359
9.41276227072628e-14,1.386617125021161e-13,-1.0957689971505543e-14,0.9999422431133128
4.589181826821303e-13,7.632937776723768e-13,-3.1040751802415115e-13,0.9980598789524305
5.314024109139057e-13,-1.5526561063626938e-14,-2.1676883535802474e-13,0.9999719035960485
-6.457004976484185e-14,-6.191874507335813e-14,-8.474852777175348e-14,0.9999394223204883
1.6918168802768502e-13,3.198900404860789e-13,-2.0667065751723274e-13,0.9999404964338744
3.249721193789815e-14,8.827942696546959e-14,-6.201336856764996e-14,0.9999469016919557
1.5763896094153915e-13,4.461166999144106e-13,-1.8880733233438524e-13,0.9997790990607843
-9.592720269229331e-14,2.3250728623846034e-13,-5.783112928392575e-14,0.9996361990784711
