mx_standard,my_standard,mz_standard,r_2_standard
9.805908370426671e-14,1.0967934109611348e-13,-7.104327603474922e-14,0.9955620232763197
4.417561316552696e-15,-8.519540356413927e-14,-2.578959181602968e-13,0.9985948813947542
1.0531411873144839e-13,3.57011126877438e-13,-3.023831823891526e-13,0.9977255675057687
5.118460068691698e-14,2.8578347018364724e-13,-1.1009943401808393e-13,0.999569513812935
1.1886815116386662e-13,2.666174751800897e-13,-1.1263515355619955e-13,0.999121054781674
6.258807334456977e-14,2.047790057845786e-14,3.593824614516854e-13,0.9986573179441954
7.035994668781909e-13,9.672841707374952e-13,-3.653854627179028e-13,0.9920957597321914
9.098860343219647e-14,1.2919854729331874e-14,2.8338899051684783e-14,0.9963799566802267
3.9585508508131064e-13,2.8223236185515405e-13,1.7212441489359412e-13,0.9997289760055642
2.2109936880045655e-16,6.102007039173916e-15,-2.3997797719484322e-14,0.9981128166321253
-5.433515045829275e-14,-2.0093939746508936e-14,-1.5653895138685067e-13,0.9997059101869726
-2.140988869206873e-14,4.384659544541942e-14,-2.086998939533436e-14,0.9987889233221651
6.5196034542124745e-15,5.046994494374121e-14,-4.9782267849874367e-14,0.9989866013697419
-1.5044138518352515e-13,1.2294365860899086e-13,-1.3860436014409188e-13,0.817031121402456
1.8351466725197542e-14,-1.4560439497714127e-14,-9.797455588150208e-15,0.9989094720099648
5.957152979321336e-13,1.8966337933369738e-13,-3.78488603558794e-13,0.9999083094325686
3.866115610547923e-14,8.01919141055106e-14,-5.332977639463376e-14,0.999519431545644
-4.055836157267031e-14,2.4874299320001642e-14,1.0705017410836455e-14,0.9947742215932196
1.2333535212724724e-13,7.09137097307771e-14,1.2475828443480285e-14,0.9992196562247382
7.559217037034183e-14,-1.9123627821643748e-14,-6.475116335976732e-14,0.9992828131380934
1.384862881648575e-13,2.621442826848996e-13,-1.9190905231534558e-13,0.9988562299504443
-2.023642305052532e-14,6.818890059398166e-14,2.954501497753967e-14,0.9994384889105286
1.04421464160031e-14,3.024127680427328e-14,-1.2925703111265559e-14,0.9991214006316882
2.3231812241825094e-14,2.4742834162936306e-14,7.348985721169937e-15,0.9994839353135873
3.918159614569555e-14,3.869764503817111e-14,1.0485830792800948e-15,0.9994151940453615
1.7509934726098828e-15,4.5888113216453606e-14,-1.822301182438423e-14,0.9798682614857348
-1.322579250666595e-13,3.7697830196191e-14,-2.474769996801138e-13,0.9843702412763801
2.0223706806069467e-14,2.998775987444794e-14,-1.9251575026580886e-14,0.9992063798377621
1.1816451958751475e-13,-9.521072420622209e-14,-5.3036801408013024e-14,0.9898621606329215
3.448967262378738e-14,7.806032935269063e-14,1.1586845270992954e-13,0.998073980770324
1.2734444108962329e-14,2.3991259427006708e-14,-1.4781721841030676e-14,0.9992404828462037
-3.6603595977312095e-14,1.7874871031552553e-14,-1.825694493949496e-14,0.9562492806556392
3.342373343336487e-14,7.918607477801618e-14,-7.854955837101612e-15,0.1457537618485718
7.88890036116103e-15,7.226345001468851e-15,-1.2170604357305e-14,0.9904035687980014
8.667093813592077e-15,1.4527334113115866e-14,-1.2626524299307694e-14,0.999031223686653
-7.04958160132824e-16,-9.255822786079776e-15,-8.23694534429215e-15,0.9985157802862168
3.219676722981053e-14,8.229486565338002e-14,-4.110098249503824e-14,0.9995639803110941
8.653924617097215e-14,2.5370233738957582e-14,-1.2350414106216273e-13,0.9953005954542539
1.271096051095502e-14,1.178215322794457e-13,-6.44370207924739e-14,0.9982463309685827
-1.9397965219193978e-14,-2.0747708647436632e-14,-2.178093591345092e-14,0.9981637396812756
1.903607689813011e-14,-1.4922272651276743e-14,-2.0630528897937063e-15,0.9988805266125798
5.521299902605671e-15,2.1064965110345727e-14,-1.076183022241431e-14,0.892274724441139
-1.5986422973668032e-13,1.5764787261855976e-13,-6.462098613063834e-14,0.9984360846907697
-4.889389896119245e-14,-3.447813980876318e-14,-8.734145796100682e-14,0.9879447251585856
8.848078991891222e-14,9.298183480123174e-14,1.5175539314755732e-13,0.9993731315631215
1.9128579009825348e-14,1.9507093385726644e-14,-1.584408671823673e-14,0.9995640116929205
1.523689183863604e-14,1.2291875708536495e-14,-7.843159018025614e-15,0.9799035659896878
1.602063532689552e-14,1.9283003510625495e-14,-5.873581062947015e-15,0.9949566963570667
1.597524896588055e-14,2.272582394575166e-14,-3.7608452260872925e-16,0.6911957769659027
-1.8352636809654437e-16,-3.1026600296094853e-16,-1.2752679182426031e-14,0.9987698918664364
1.0202545613686525e-14,2.0517480510198466e-14,-6.927795827402517e-15,0.9994592844889244
3.478245045977608e-14,7.69336630343666e-14,-6.105347627408695e-14,0.9993153731331624
6.382272673626079e-15,8.672847365949915e-15,-7.444627006348708e-15,0.9935911976124241
1.0640555832079056e-14,-7.968040416938381e-15,-8.502686394013949e-15,0.9987357772279992
-2.2808951247754906e-14,1.27625206972128e-14,-1.0863294008835607e-14,0.9943813093686233
