xmin,xmax,ymin,ymax,xc_standard,yc_standard,zc_standard,mx_standard,my_standard,mz_standard,r_2_standard
1055.107864376269,1083.392135623731,1254.857864376269,1283.142135623731,1069.1321798166728,1268.8063944952364,-4.0672500402117295,2.2728753571481055e-12,-1.1622089106878746e-12,-1.3610936641080733e-12,0.9208279740350798
590.158958028186,631.841041971814,559.6089580281861,601.291041971814,609.1423437624795,582.4909901406668,-6.647181198177871,1.6360125233682972e-12,4.2353824047522365e-12,-2.5711786734927622e-12,0.8995553515088093
435.058958028186,476.74104197181407,1344.508958028186,1386.1910419718142,455.7406981866417,1366.5590668735972,-8.310966138720117,2.421533249147328e-13,7.958476226813158e-12,-3.0480764681925956e-12,0.9641789357260718
422.9578643762691,451.242135623731,930.5578643762691,958.842135623731,437.0670734851866,943.9533623960886,-2.39555980208291,-1.4925532515364518e-12,-6.574779256379674e-13,-5.339924627215565e-13,0.8884650477047774
1130.307864376269,1158.592135623731,173.85786437626905,202.14213562373095,1143.4691361952425,185.40301612531448,-4.322703168755975,1.7238907280260606e-12,-1.9999887943601367e-12,-1.200604613385321e-12,0.9674459633380378
620.357864376269,648.642135623731,885.9078643762691,914.192135623731,637.1053130825642,898.6509126349035,-9.273958824389458,2.893802515833953e-12,-9.026855232701005e-13,-3.74507284461869e-12,0.9712766771477014
397.458958028186,439.14104197181405,686.508958028186,728.191041971814,417.637589964173,706.80380053745,-6.844005954140723,-2.041507006052151e-12,-4.651702757438536e-12,8.698881272677756e-13,0.922012444807321
2039.757864376269,2068.042135623731,460.5578643762691,488.842135623731,2050.5819208843573,478.53085398794605,-7.84046224478914,-2.4623734072160237e-12,1.2395149492536675e-12,-2.7705645990262506e-12,0.7631802126871974
364.2078643762691,392.492135623731,1116.207864376269,1144.4921356237312,378.6275858785931,1128.4635073440606,-1.4068445076035445,9.287372821021291e-14,8.629612927518777e-13,5.329319240018564e-13,0.7801432926615266
601.5578643762691,629.842135623731,972.857864376269,1001.142135623731,618.8313169663867,986.6688790415408,-3.82158274175946,1.4024024164661759e-12,-7.952688543790711e-13,-4.814916558943425e-13,0.9297199168381719
636.8078643762691,665.092135623731,1019.857864376269,1048.142135623731,654.290888529512,1034.6057834009168,-4.127036846984618,6.70900360677946e-13,-1.0084740031940866e-12,-1.3855676760775665e-12,0.8727233840092457
787.2078643762691,815.492135623731,632.107864376269,660.392135623731,797.0941026299683,648.5522469524744,-5.080832721817581,-2.3585096704936105e-12,4.559525240930165e-13,-1.6263439736364352e-12,0.9095917430754324
789.5578643762691,817.842135623731,688.507864376269,716.7921356237309,799.5281982291476,701.219315572145,-5.791910835458502,-2.232664158956971e-12,-2.0563980835221496e-13,-9.592690519196007e-13,0.9835819784301751
958.7578643762691,987.042135623731,162.10786437626905,190.39213562373095,973.1237169520674,178.39065351914317,-8.57307218668415,-2.783917786383906e-12,2.2885756940373476e-12,-3.641343408573531e-12,0.9865203628573004
615.6578643762691,643.942135623731,662.6578643762691,690.942135623731,629.8657796927768,676.7463713833027,-4.909301503074009,2.4804268050854668e-12,9.398160566976728e-13,-1.1385588751034784e-13,0.9814202740128087
862.4078643762691,890.692135623731,930.5578643762691,958.842135623731,878.3606750824506,947.7662402543891,-4.918357069489856,1.2562103424262993e-12,-2.6605766760260772e-12,4.545248663539997e-14,0.8870607010853896
1034.308958028186,1075.9910419718142,665.3589580281861,707.041041971814,1057.8627742820304,685.3819707176154,-5.015748122805989,2.967097920556833e-13,-1.3320914623375178e-12,1.0017443569981396e-12,0.5966837416419184
845.9578643762691,874.242135623731,1071.557864376269,1099.842135623731,860.7397673304671,1084.2573908665267,-2.799684410874147,-1.6264968327998002e-13,-1.1928628188940422e-12,5.453549113336252e-13,0.7325066479511186
418.2578643762691,446.542135623731,815.4078643762691,843.692135623731,432.641187147646,832.6830107074577,-5.841670146702821,1.235940510054243e-12,1.3265556938135215e-12,-2.228992230339321e-12,0.9192835764019788
684.158958028186,725.841041971814,945.008958028186,986.691041971814,706.0446354878975,961.7330074043759,-5.447018347497027,-8.297492824102461e-13,-2.2430722559983472e-12,-6.573371596862886e-13,0.7298267505224217
733.1578643762691,761.442135623731,1182.007864376269,1210.2921356237312,748.1608282440826,1197.6081478710369,-0.29750009268185756,5.996811434203618e-13,-2.0549612327685564e-14,2.2271540321829183e-13,0.7332957596815065
1031.9589580281859,1073.641041971814,193.00895802818596,234.69104197181403,1052.6879134032672,210.0906603954189,-5.455452582696353,3.878801590196647e-12,-6.217139235122276e-13,-1.6522107395371226e-12,0.6840798306391553
1677.857864376269,1706.142135623731,155.05786437626907,183.34213562373097,1695.1580208038981,170.8040872126295,-3.1925666915006086,-1.913777993884177e-12,-1.1895467487150125e-12,1.4325176812275346e-12,0.9640605785574948
2183.107864376269,2211.392135623731,1186.707864376269,1214.9921356237312,2199.686967495657,1200.8112769695176,-0.4346237902574365,4.5100335756046893e-13,4.403266719618005e-14,-5.595881436204008e-13,0.8488190344262874
1330.408958028186,1372.091041971814,724.1089580281861,765.791041971814,1346.2950107669787,743.6406853764333,-15.265923493692972,-1.5877514821256737e-11,-8.049660656010902e-12,-1.5233389362437453e-12,0.9549235043263545
140.95786437626904,169.24213562373095,1104.457864376269,1132.7421356237312,154.41832577211417,1117.105464503775,-4.17013193880055,1.274040100722224e-12,2.133860262798999e-12,3.375199487990892e-13,0.9544847701815995
61.408958028185964,103.09104197181404,420.958958028186,462.64104197181405,78.54789731878762,442.0723415012964,-11.403676003350425,7.942034825534853e-12,6.192386004068089e-12,-6.419835610531219e-13,0.917439232252069
1487.507864376269,1515.7921356237312,1186.707864376269,1214.9921356237312,1503.4322855662206,1202.8328426607782,-2.8764884942861304,7.631802925324033e-13,8.908580414289574e-14,-1.781643923333556e-12,0.9049485813777269
707.3078643762691,735.592135623731,32.85786437626905,61.14213562373095,722.8666466123287,46.718824121248595,-5.193861890857314,8.121950703982781e-13,-2.3110744362152664e-13,-2.665971335465486e-12,0.8877155841138551
1005.7578643762691,1034.0421356237312,32.85786437626905,61.14213562373095,1015.4701281497046,48.010740353686856,-4.187194185892915,-1.7630002019897222e-12,-6.283619747695395e-14,-8.197361795817512e-13,0.8596535373548625
394.7578643762691,423.042135623731,234.95786437626907,263.242135623731,408.07167861516734,253.17859930391003,-6.517603653775506,-5.832120679945276e-13,1.8829156976850334e-12,-1.6973323857847509e-12,0.8241596771413171
