mx_standard,my_standard,mz_standard,r_2_standard
-4.540011161118972e-12,-1.5775733859581724e-13,-2.46430807136746e-13,0.9618214509114348
-9.12292499601817e-12,7.374131877246743e-12,5.658746112236469e-13,0.9203725813838048
2.6196768828164584e-12,1.4069828958816945e-12,-8.135032955796242e-13,0.8647724636321626
4.576285207127666e-13,-2.0774970399991476e-12,-7.446385946743056e-13,0.953481630224806
-3.1514733265225496e-13,1.1432543490095004e-12,-6.820184316924495e-13,0.9090678675315966
-8.538830835162012e-13,6.181248985447779e-13,5.760031940226913e-13,0.8162566160658316
-9.547464693808004e-12,-5.0246254914467655e-12,1.2157287792652e-12,0.7098549795158438
-1.4616988684415102e-12,-1.6185925352326172e-13,-7.221355899896171e-14,0.9200514519180755
-3.8244558193100615e-13,5.294475574373764e-13,-7.569090362966092e-13,0.8359475033158912
-3.948189636320964e-12,-9.396786198180322e-13,-4.298022026813064e-12,0.9422762354275848
-1.3758909151155718e-12,-9.182928620047417e-14,-2.4685837163750313e-13,0.38865872352774145
8.259906352346142e-13,-2.1120681726533735e-12,3.461550896067468e-13,0.8878333005698131
-2.318912999356728e-12,5.843651512534438e-13,-3.487497741920712e-13,0.9692701449617103
-1.5958766630127267e-12,2.870111467578313e-13,-1.5753184753626044e-13,0.8624681971650865
-1.7102548452744562e-12,-3.1800243542763e-13,2.0023899598980124e-12,0.8906294193211186
-1.3442694373249489e-12,-1.160664493506499e-12,-6.601289129454764e-13,0.4838293679599035
7.171638992406281e-13,1.1176093234752353e-12,7.772270072740083e-13,0.9781197078464231
1.8303695351013234e-12,-3.8203179925257074e-13,-1.5229217015470244e-12,0.9720452516125087
-2.520847134446328e-12,-2.3084105869487263e-12,-8.13967640236203e-13,0.2893655314138943
-1.607268405319403e-12,-1.632363683735453e-12,-4.32866758900501e-13,0.9089521237398414
-1.7725720644124193e-12,8.406776189700375e-13,-1.2299620304593118e-12,0.9388645732679115
-1.6248317901989127e-12,-4.241342765368661e-13,1.2864344514538502e-13,0.9417129478841332
-5.637138420184427e-12,-1.7014320809844626e-12,-4.991251239764246e-13,0.5049285889093502
6.252718865519502e-13,4.372171944732466e-13,-1.3577568378818585e-13,0.6473940679580923
-1.1539317430656063e-12,4.039605417079042e-12,-1.2569445158563613e-12,0.8832441797536223
4.531404169655272e-13,1.6143349490374537e-13,-1.4412377579814107e-12,0.9725236684401197
-6.397574173745199e-12,-7.2661357379596866e-12,-8.345671476434491e-13,0.9245971399910143
3.968464379710766e-12,-8.175838707196232e-12,-4.986709836059574e-14,0.722112820277633
-1.5562738916604644e-12,-2.51571972018875e-12,2.182604810087044e-12,0.7413978404248958
4.981989239241442e-12,-1.8985432934945545e-12,-4.923634815713211e-13,0.9101016227566278
2.900771559681915e-12,1.4501029750300814e-12,9.563812421222412e-13,0.9585087876046685
-2.4410710183609135e-12,-4.996221797602202e-13,-3.804898822796124e-13,0.7397079940723936
1.2442275861016611e-12,-7.970504525588236e-13,-1.0597174237328215e-12,0.8372045176305551
-2.7750955850091185e-12,3.3490821969512204e-12,-1.1470202768546054e-12,0.689034665410293
2.2495687250178545e-15,5.884558396114652e-13,-3.379581073818754e-13,0.5589871689812833
-8.363823937842993e-13,1.50885608681621e-12,2.3800325767198896e-12,0.4619586649671208
-1.6286566576288767e-12,1.9332841999260594e-12,5.955283295194709e-13,0.7943904030588845
-9.738788500187136e-13,1.3089164714461373e-12,6.87769253976237e-12,0.7647378312211691
-5.363377382026417e-13,2.2959271266036555e-12,6.345625200600087e-14,0.7894050304738779
-2.1433384683123497e-12,-1.479455662358869e-12,-1.3428472805089097e-12,0.34036062536357836
8.153335416187247e-13,-2.744312301785371e-12,2.5624175179429866e-13,0.9451601713401151
6.483549690086433e-13,-3.005307966150028e-12,3.789558787714033e-13,0.8955249740673915
-2.8955199076844187e-13,-2.816998150829609e-13,1.3859678207910802e-12,0.5519644747948653
-9.577253647484897e-13,-9.968996139936867e-13,9.84667365442504e-14,0.7027160447983861
6.518870050462042e-12,-1.013389278884398e-12,-2.556502922901981e-12,0.8261315172530848
1.5612289227065866e-12,-6.247407724049903e-13,-6.850826850657558e-13,0.581648039839535
2.8678715058777294e-12,-1.5841367713654582e-12,-2.2929645814802244e-12,0.9286880841792007
3.147308263831812e-12,-3.1711202158244244e-12,-1.591432647104551e-12,0.952840528327859
1.5974056171409494e-13,-1.0885837652930233e-12,-4.1381008584046393e-13,0.8936404277204344
-9.96005109165463e-15,1.937235783492145e-12,-3.5444197004085995e-13,0.8829692317268454
7.496862961692035e-12,-6.451170825989931e-12,-2.538322779056112e-12,0.792213780292759
-1.61735880293065e-12,9.80147878670299e-13,-9.46869472213496e-13,0.762534079975603
-1.8562068725688023e-14,-6.068927221987853e-13,4.360076784986568e-13,0.9778175260371558
-1.5495330316987356e-11,3.996186570106865e-12,9.884089994180403e-12,0.6295375820079806
-1.679278658201745e-12,-1.2724598631765297e-12,-1.8279005981035346e-13,0.46843408011369725
-3.3316961017036133e-13,-5.226624904433508e-12,-2.6603422266715616e-12,0.9641110760021498
-2.5893813590943194e-13,-6.699353381375547e-13,-7.376428614423932e-13,0.9230878181489561
1.620194636233272e-12,-4.2883137626977044e-13,-3.5608974627476294e-13,0.8715515385489863
-1.0896507284145282e-12,5.990503544895967e-13,-1.563871278562102e-13,0.775141568014022
-6.846283202339274e-13,5.88036933518787e-14,1.064792110913201e-12,0.9127232117788394
1.0813834102944299e-13,-1.456894779680261e-12,-1.233963926927439e-12,0.9647352501244253
6.257476828577363e-14,-3.512763838203994e-12,1.4989640699384867e-12,0.7011017876683273
-2.7096599697557006e-13,-7.957314996028425e-13,1.0236593449472073e-12,0.7146734843051017
-9.291106731599301e-12,-4.935632271184761e-12,-2.704393936893193e-13,0.9370870975033404
-2.1978412733255007e-12,-1.0636780081081117e-11,-1.8463481729645915e-12,0.662928189269641
1.1705099175129322e-12,-4.2831133563174053e-13,9.867993335264933e-13,0.7531709556874124
1.3428556787236906e-13,-7.051003879489244e-13,9.421257818172055e-13,0.8464184110070715
-5.330914495323607e-13,3.0146430109771176e-13,-5.761609392539478e-13,0.6653956714233014
8.352458630606428e-13,-2.0627431428768024e-13,1.3612308547630497e-13,0.9225514821765861
7.224292385420377e-13,-4.397866124472745e-13,3.168254050290109e-13,0.9571739117280988
-8.516995937263283e-13,-2.919063068549491e-12,-2.5321580040621516e-12,0.5321716892913524
2.0305748285008576e-13,-1.3667898885173712e-12,-2.9590221401851846e-13,0.23998563679671536
-3.4913163819371614e-13,-8.43804693549383e-13,1.8724994750779608e-13,0.9296804332274674
1.8899652841690652e-13,-5.706264492224345e-13,4.444264345205917e-14,0.39078344220368844
