mx_iterative,my_iterative,mz_iterative,r_2_iterative
-2.4473476044503005e-13,-2.141383962878407e-12,-2.1656763115558864e-12,0.9671254442683868
-2.1406013705489847e-12,-2.5616610373834895e-13,-2.703882290164151e-13,0.9933943181640175
-3.2898362929543853e-12,-1.9328945527500173e-12,-2.143091522985008e-13,0.9049750584458922
-1.3096509181032244e-12,-6.754438187094454e-13,2.7945413126953956e-13,0.848376341585007
-2.723487535239582e-12,2.8477038981699573e-12,3.2095342233245844e-12,0.9352619309137685
5.237363106036716e-13,6.703399237249198e-13,9.867210635711176e-13,0.9596642808519283
1.2032311296183056e-12,-3.71163591514261e-12,-3.26416716868933e-13,0.7048700159855275
1.183223873017885e-11,-5.425238392552229e-12,-1.399326223945179e-11,0.9286934299804033
9.807832919016618e-13,-2.907531540148668e-13,-1.2675283959074517e-12,0.9823439789614883
1.7911091545589274e-13,1.4317253900548095e-12,6.63853053691731e-13,0.9728505071214113
-6.793110752953122e-13,8.481451887656819e-13,1.2868597566045805e-12,0.9707912491504163
-8.35892876754672e-13,-4.1231268486559835e-13,-6.093402748891126e-14,0.9128743495542309
2.1713638010823375e-12,-2.7247613240889707e-11,1.1933978237478707e-11,0.8591028756429205
1.3337817145727084e-12,3.3460821543795464e-12,5.4472084203065465e-15,0.9918585207909458
-1.4109271279512727e-12,-2.0708599783242389e-13,-4.5858671751510545e-15,0.8911429748894393
-4.2195729688958664e-13,-2.044706243617448e-12,-2.426973265723037e-12,0.9601320615818165
2.283899605917665e-12,-9.544192808990013e-13,-1.0092948501546668e-12,0.0889890821347874
1.6607680620587826e-10,3.7091510966529026e-11,-6.902811125906397e-13,0.6927356634288486
-6.957976032394769e-12,-3.256913587598067e-13,2.7828315278290735e-12,0.3489131025260883
-5.438517943528646e-13,-2.4624971554691e-12,-3.998756691370114e-12,0.8722545670229066
1.2889272574043544e-12,-5.213409722873769e-13,-1.9449937988346246e-13,0.9970094273667902
7.144194615719581e-13,-1.4229077799748035e-12,-1.1311281458542566e-12,0.9081803320597301
-1.363349028577089e-12,2.126756986534838e-12,2.2243916969853457e-12,0.926185653736467
-2.5598906596269423e-12,-4.42738107222927e-12,-1.8187897964060336e-12,0.9653738653382968
3.3505575630121638e-12,-1.418241149956809e-12,-3.405635872803607e-13,0.6467084235227156
-1.7420326907832928e-12,9.400520874364272e-12,1.898445186311429e-12,0.9751438582163948
4.4799528372570344e-12,1.343191825925502e-12,-1.2344919950434086e-12,0.015452349868772641
1.0169534480752494e-14,9.13746636159605e-13,2.003976012908094e-14,0.6466411482315398
-1.9689248996619098e-12,1.2311638187997443e-12,-7.419538883690734e-14,0.11515603396114993
-3.254633427745029e-12,-8.561061175715958e-13,-6.482685671377995e-13,0.8427996524419739
-5.343004838023344e-13,1.0900368127105288e-12,9.199417805859762e-13,0.9656518430379016
3.1124244075245174e-13,-8.431670343382108e-13,-3.1698711374511444e-15,0.03487757726246932
1.3514662019675538e-12,1.954386629279459e-12,1.4061929304482378e-12,0.8422598060539832
6.93629105866803e-12,-2.391785582262808e-11,-1.2120531274797995e-11,0.926108357046304
4.1884172257188744e-13,-2.9863702382925163e-13,-1.9059262713201251e-13,0.9334050641886318
-1.076784446104396e-12,-7.060587208442415e-13,3.847417997036224e-13,0.9313599023284561
2.1968973229691203e-12,-1.9926073578538348e-12,4.3314785202557296e-13,0.9414128601135141
1.9913165737656055e-12,-1.9071742930537012e-13,5.358425699488611e-13,0.9404984943569277
1.1211314050934136e-12,-5.3895549363657486e-12,-1.7694360686481117e-12,0.850270622364907
2.758363882359325e-13,1.965831280843154e-15,-1.1022902780300049e-12,0.3178623628401761
5.686122696536074e-13,-4.693249841518891e-12,-6.145670800759364e-13,0.38589234313684506
1.2567894957775084e-12,-1.9444504921333195e-12,-7.153445808757951e-13,0.8807801681237523
5.747996281054695e-13,-1.2655709434759338e-12,-1.5337420343432718e-12,0.9849433270250095
5.5987886686549446e-12,1.6364855476051434e-12,-2.3737493644785656e-12,0.8854958112322431
4.1232861124395086e-14,4.226871988333383e-14,-6.598501550520519e-14,0.015898584683087913
-2.7353661852436213e-13,-3.395032268202186e-13,3.5067870791896375e-13,0.1317823715402534
1.8033007103169843e-12,-1.7221748202397534e-12,-2.752214732661301e-13,0.9804010395097293
6.419054327874005e-13,-9.644723285706605e-12,-8.076482067304511e-12,0.6777947660815473
2.3842415739704307e-13,2.347671703527326e-13,4.4099905257614924e-14,0.9959331261466559
8.400246800356374e-12,-3.826360783431387e-12,-8.531856133747175e-12,0.8634211164571874
-1.2719548226612638e-11,1.8265090482364566e-13,-5.824345651073675e-12,0.8178388507469966
-1.0593974879358413e-12,8.505904301814797e-13,1.3783222194953618e-12,0.8010326185293912
4.113112146786589e-12,-2.174651035622109e-12,-3.4862880689803346e-12,0.8772774255700893
-1.74358172022053e-12,3.170163912725803e-12,1.9993538481283845e-12,0.9559805740805927
-1.3336090318510179e-12,7.898362540455352e-12,3.744575278003725e-12,0.9098325038568371
-1.034247901415557e-12,-4.1375581002164885e-13,2.9966365705409074e-13,0.9709429614334665
5.06332492998261e-13,2.4836461583831647e-13,9.370932424108944e-13,0.9151608847606831
1.1053489323838371e-12,-1.707300934587344e-12,1.1845225394468561e-12,0.9876080595974499
-6.589477304098176e-13,7.312974216186911e-13,6.638076612895645e-14,0.7297938606401198
-1.8069279099149084e-12,-9.949548810583934e-14,1.0624470676160765e-13,0.9739877892132061
-3.9053852349655635e-13,2.532297527960636e-12,1.2736939176605436e-12,0.9503458611264064
-8.852991899944585e-13,1.0655296125263367e-12,-3.435919324676471e-13,0.9527907201270551
2.4775308608103794e-13,6.029883239087828e-13,-2.2826612990704257e-13,0.8599929368514212
3.095108587359582e-12,2.4026819432239015e-12,8.324815587187889e-13,0.9563568801626381
3.795998452087246e-13,1.5573359815713522e-12,-5.944198484054955e-13,0.98686249433937
-4.915685612758863e-13,-6.116493605770333e-13,-3.6792208835196514e-13,0.9164081936623617
6.575165141218639e-13,7.272958894966639e-13,2.5375381649295983e-13,0.9636600363556674
1.0495069838875158e-12,1.342139586724695e-11,4.007582575398493e-13,0.7062691583467828
1.8339158638339188e-12,1.2957064109891753e-12,8.668558288806462e-13,0.8737181234883779
-1.6593970706665373e-13,-5.147759402511955e-13,1.4123565951488239e-13,0.6382484130095611
-1.2384232649491707e-12,-5.090646819988118e-13,1.048089335746634e-12,0.9284162904567943
3.003867956027104e-12,-1.4733455115094745e-12,2.0803714546959762e-12,0.932222197289122
-6.273638860464148e-13,-1.631432827835598e-12,-2.171770782473893e-13,0.9638687207998495
-4.162626183512304e-12,-1.8652881222090907e-12,-3.1063541808262704e-12,0.8605267596920256
-4.559866057209067e-13,6.795088269274923e-13,-6.238672994074945e-13,0.8004833914369214
-2.8045361615064405e-13,8.347394173640817e-12,1.4499325698431177e-13,0.8098638478857505
-1.4461134166951017e-13,-1.72530511192472e-12,2.623026506099893e-13,0.560558120573318
-2.920087192547773e-14,-3.643751079668407e-13,-6.533896199468371e-14,0.8025618634472174
2.345116544269779e-12,1.6731583745237627e-12,-7.921614529231903e-13,0.9115785575778674
1.004292815197185e-13,3.2142901239473064e-14,-1.1495880597587868e-14,0.42505939466454346
-1.3196592217116287e-12,-5.696409275193061e-13,7.032036238325585e-13,0.9664266737717627
3.024551326485808e-12,2.1978399087203466e-12,-1.7811699377373647e-13,0.969167378096766
1.1473710729272952e-13,-7.580011047864984e-13,1.129198057870701e-13,0.586096563748757
7.713809595873175e-14,-4.694997958371771e-13,7.257448530347447e-13,0.8033997730410984
-5.148453732942751e-13,-2.4345674134716516e-12,-6.724975191734202e-14,0.8579865398312596
-3.33671645081129e-13,1.640576466530864e-12,-1.4156501090651371e-13,0.903591316243415
1.2903152262918717e-12,9.813706924853114e-13,-9.964247726216835e-13,0.9970328261627375
2.9658115710842536e-13,1.8754824502339114e-12,8.222940900079179e-13,0.926606667740013
-1.4766705050890596e-13,2.1380156885638778e-13,-2.077207638483067e-13,0.8744647747317409
2.517146775134014e-13,3.0894792896815243e-13,2.740929455035668e-13,0.9494199132766236
2.962476696900897e-13,6.528597774542358e-13,-8.743865572934569e-13,0.9945630823242878
-6.00364766371453e-13,2.0804700584265628e-13,1.648496488452127e-13,0.8538422814976045
-4.416615253566547e-13,-4.0956452914933557e-13,-8.705496656360874e-14,0.8270245768983768
-5.185156797595003e-12,3.9622099851634215e-12,2.9008595631306775e-12,0.9467810945116703
7.830419557449548e-13,3.412830461259083e-12,8.980280926648202e-14,0.8038622365774801
1.319163722695709e-13,2.418289153100704e-13,-7.132345392483742e-14,0.7683842917192045
-4.438205325267049e-13,7.576418512918954e-14,-2.6680961470710854e-13,0.9455719779896001
-4.907148382415091e-13,9.046992860255263e-13,-2.145668414635622e-14,0.6665521246509427
-8.159085360228556e-13,-1.572163004579695e-12,-1.4735264336540446e-12,0.9313663250694095
-3.326465167501981e-13,-2.5818611929781593e-14,-1.0471618979560334e-14,0.5787074004275663
-1.6985635586722256e-13,6.450697016882224e-13,3.061410170038964e-15,0.7157242381313746
6.947197648406118e-13,-2.481263202155368e-13,3.5736193095006984e-13,0.9751866318830896
1.6382467789280505e-12,-2.919135447695304e-13,-1.136920668586134e-12,0.931678325694209
-3.2836031858636143e-13,-3.4470437127934694e-13,-4.0417899958282877e-13,0.8771317285709014
-5.982943197209928e-15,2.420034456546006e-13,9.800948945833436e-14,0.12634888950761802
1.2905555570232987e-12,4.58903658282273e-13,-1.2276520141240345e-12,0.7074888003665625
3.1072824522921606e-13,-9.211500043970786e-14,-2.2515162470344006e-13,0.8492325572760551
-1.839458709862934e-12,6.155768755805116e-14,-3.2732935305075984e-13,0.958419236178019
9.377050645618059e-13,-7.036222051466197e-13,-1.4050595295994592e-12,0.9841591681417681
1.285290104581535e-13,-8.686209687975054e-13,-1.7839193683629708e-13,0.9558928719096956
-2.9814652313162756e-13,3.307786964949372e-13,3.684161151436416e-13,0.8843158221391962
2.3164349681687845e-13,3.33727075648239e-13,2.3136313595630344e-13,0.9697449858482373
-3.2513966570277636e-13,-3.212734951064557e-14,-5.218602238655107e-13,0.941269279398164
-1.626681961114327e-13,-3.933643201813078e-14,1.3599648085498926e-13,0.7943820161464547
1.0788588947352193e-13,6.445791412234596e-14,-9.451032270135601e-15,0.5760717785283543
-5.783676102577996e-13,-3.150071983271822e-12,-3.4557420967514405e-13,0.9705915226703988
-5.007033684831746e-13,1.0753011285898024e-12,6.53884845649967e-13,0.9791613822672488
1.1477314135170108e-13,-3.645222289548631e-13,2.508209728760043e-13,0.6690340208651658
-4.882128190007557e-13,1.2021791514549395e-14,3.0525359508282454e-13,0.9212424464886552
-5.134737165087226e-13,-5.102178201879342e-13,-6.324194251695838e-13,0.8939586411250597
-6.142872076071883e-13,2.552427686607917e-13,-1.1117627956294022e-13,0.9897181140411299
8.350239087167073e-13,-3.9171090804149647e-13,5.487883198033339e-13,0.7064108000930445
-3.4826261312875715e-14,-1.6095088762784595e-13,-5.243633005755199e-13,0.7656479354599904
2.6237085794065495e-13,-3.3390354498611597e-12,2.429005220185968e-13,0.9161103400252049
3.6570029561021673e-13,1.640025348824404e-13,1.9112067170140388e-14,0.9751633691812697
6.222711593822426e-13,-1.4802875508109112e-12,-3.9527354848877633e-13,0.9550898062652297
-2.862048631864161e-13,-6.113610739448667e-13,-6.868182365955011e-13,0.9558865782391603
-4.667465547032297e-14,-2.612541593664559e-13,-7.534233786504501e-14,0.9889598571154791
-1.3613149032898283e-13,-8.994678335460358e-13,-2.3921218937173166e-13,0.9837071529240492
-7.885188160292023e-13,-1.0308660714909235e-12,3.2265571469083613e-13,0.8503370998231862
3.388991379897573e-14,-2.9650918331912296e-14,-4.878026858128973e-15,-0.02158254396843029
1.5552448759590142e-13,1.0229804036654219e-12,-4.508203080327023e-13,0.9153850674826705
1.0072945797743801e-12,-1.4844828278334123e-13,-2.796676632721966e-13,0.5689214084332721
2.5789623091058695e-14,1.5227644425546216e-13,-3.654060656256884e-13,0.9640106092120965
-3.227995415855059e-13,-6.482600652869953e-13,5.427895380977053e-13,0.9463361280972259
-3.4225926954454356e-13,1.7543676939872168e-13,1.800468608866918e-13,0.9787600427983149
-2.308660966649471e-13,9.373985758306064e-15,-2.377936103565671e-14,0.8230121523984042
-2.6107103625012415e-13,-3.433494088938787e-13,2.7436366943009983e-13,0.9335364589556698
-2.745722760161771e-13,-1.9694021645316798e-13,-7.577598267983073e-14,0.8630669211223404
8.432794950289676e-13,-5.253416787959493e-13,-2.1544295190185703e-13,0.9413583233773881
-3.2341062519897616e-13,-4.211327453964728e-13,-2.8398370334706456e-13,0.9102932553397168
3.828280258406747e-13,1.7126555385676156e-13,1.3222526153685178e-13,0.9473180856598488
-1.4206245265155454e-12,3.260109232156141e-13,-1.4325895098693768e-13,0.8763783932340249
8.530640301808038e-13,-1.4397703941234174e-12,-4.2425246933220343e-13,0.9569349353764746
9.546218147023242e-14,-1.2623071329810253e-13,-6.137646201738134e-13,0.9328373468251802
-3.902915740971914e-13,-5.849057951816477e-13,-2.3433844644148834e-13,0.8148109863573316
1.733927513876131e-13,-2.381689555361657e-13,-1.1492755729460295e-13,0.9660266269382433
-9.261282103051544e-14,-6.761413929225368e-13,-5.112932815597449e-13,0.9740789882469533
-5.470628430844053e-14,1.6405294512065037e-13,7.938978350142422e-14,0.738576554641368
-2.9151638718549187e-13,3.019994569408074e-14,2.0509930215133315e-13,0.8915188939856302
6.365723305705229e-13,9.58842839718536e-14,4.752422530524398e-13,0.936817921175837
8.837857427156225e-13,-3.0419040562501226e-13,-9.867219480687907e-13,0.9840360072662844
-3.6374705660038824e-13,-6.167814867577569e-14,-1.6073625060339093e-13,0.9019269638122818
-1.6246534373792772e-12,-1.0023642949336095e-12,-9.325406054393759e-14,0.9695320805391499
-6.282632828956741e-13,-1.2299994449766488e-12,4.205399924024378e-13,0.8997735390508108
7.904937402038322e-14,1.6531283228527217e-13,2.095347371356907e-13,0.9176065748341788
4.718435396811199e-13,9.328798164852294e-14,-1.7336559540806739e-13,0.8161651642826667
-8.630204927833505e-14,-5.349140604073929e-12,-2.9001471341585525e-12,0.9847298407391867
2.859206213852103e-13,-1.422387037904244e-12,3.662199908803686e-13,0.9489249539917705
1.9061717108324874e-12,3.67210678724529e-12,-2.996430019017662e-13,0.9595533950131815
-1.047031222061086e-13,-5.5241675643816453e-14,-1.1410967413819797e-14,-0.1560215602191397
-4.150289875775873e-13,2.2444652704745398e-13,6.47091400193359e-14,0.9439589878790897
1.0733680156497967e-12,2.550236734652022e-13,-2.74018554628936e-12,0.9878017092036213
-7.874069682041219e-13,-1.0148928057551345e-12,-6.099953181142797e-13,0.8236507731548819
-5.990022297502132e-13,1.4807545373145505e-13,-2.7794094336102964e-13,0.9546280975220658
7.309970229391147e-13,1.1779617714132158e-13,1.0887547424781524e-13,0.8827652331221449
4.868548879917919e-13,2.2570406585790214e-13,1.505410035975779e-13,0.9227107545019119
1.4147739105077385e-13,-1.6949764898336616e-13,4.2930285814078787e-14,0.6264870612483467
5.986426265618222e-14,-1.4628559651578403e-13,-1.5965145336783644e-13,0.9157012932921447
-6.665365362462102e-13,3.868553307739016e-13,8.343452626654478e-13,0.9508517045689588
-6.69473660689914e-13,-1.0251215456936156e-12,-5.007465682060175e-13,0.9617749422029316
-2.0602542844046307e-12,-1.3031983661982938e-12,-8.742591531890342e-13,0.716716861899326
9.052606750321833e-16,-8.303709436160543e-13,2.7261863194611795e-13,0.19479554643295904
1.0539431139747738e-13,2.5446977209378674e-13,3.0022009191778627e-13,0.9441119739073324
