mx_iterative,my_iterative,mz_iterative,r_2_iterative
1.0389982396273951e-12,1.1594719685427986e-12,-1.0326859652874973e-12,0.999973232417178
1.466454310911302e-12,1.5771655015712755e-12,-6.03550937190322e-13,0.9990425983783832
-2.991427734306085e-13,1.323161099600533e-12,-4.0314628443313804e-13,0.9998570796908464
1.0729338928158945e-13,5.095896017763917e-13,2.4220067947332384e-13,0.9999805450898477
-1.9049191303537576e-13,-1.4571081099592486e-13,-4.864528721296913e-13,0.9996387551971809
8.292350679033351e-13,1.229530813213315e-12,4.97978872817289e-13,0.9720868737153721
-7.721909045445604e-14,8.902033664142157e-13,-7.149490479154609e-13,0.9994089271294194
-9.500769076362939e-14,2.593755223089203e-13,-1.463229228335468e-12,0.9999352886306928
1.0280070511536198e-12,7.419482338943408e-13,-6.809228096855418e-13,0.915923829045402
1.3969170136459641e-13,3.0191335754646303e-13,-6.426393676379489e-13,0.999961788111262
3.885979972215329e-13,-3.9848084113163663e-13,3.9219392552545897e-13,0.999967755851191
3.5777266779168125e-13,6.645338999170207e-13,-5.667707652783429e-13,0.9998699570893279
-6.69676835713648e-13,1.4048613743548406e-12,-2.6520507927963533e-12,0.999953551491679
6.531659936818784e-13,-9.262539272111734e-13,-8.294177919958533e-13,0.998935852873106
-1.624816183894076e-13,4.954744657487434e-13,-1.1855851198015248e-13,0.999805774934943
2.0244131149199577e-12,7.958628941735774e-13,-1.7051969754417606e-12,0.9997971631119446
2.414275835929522e-12,7.890628468623972e-13,-4.256727552682415e-13,0.9997194749963861
3.868988215106764e-14,1.721410691647927e-13,-1.904490238310355e-13,0.9974202381836094
7.818582155012255e-14,-1.8735255843711958e-13,-3.4054361344661223e-13,0.9991455932327263
4.992309427387166e-13,7.277030547347308e-13,-5.19689125535626e-13,0.9998673092632188
-5.107225245384704e-13,1.1821925582920305e-12,-1.3573774404270034e-12,0.9996016881432768
4.6994270681215444e-14,2.655519854252929e-13,1.27457205576805e-13,0.9993324916335209
6.063120699050842e-14,6.705590742852127e-13,-4.3751369647329495e-13,0.999958185549427
1.9522404578541723e-13,-7.506970559717395e-14,-3.555188891834491e-13,0.997399720908933
-1.227718428055854e-13,-4.0943695225054565e-15,-9.02938768646371e-13,0.9999130174424596
1.8098992870795302e-13,1.3907973773397472e-12,-5.346397577725635e-13,0.999495222554686
