mx_standard,my_standard,mz_standard,r_2_standard
5.158150000249907e-12,3.5399885533640637e-12,-4.224061715712214e-13,0.9987831829543536
1.626285078381324e-12,2.6747029737926233e-12,1.1364787966948845e-12,0.9980955622293545
7.546795558151183e-13,2.0795329326949004e-12,-3.833111598253562e-13,0.9983910709507979
1.3097817120906492e-13,2.2279786210115298e-13,-1.497452608451923e-13,0.9987809965859545
1.0037047176095505e-12,1.730393447688479e-12,1.862453687420575e-12,0.9886838675239042
2.029132418741703e-13,5.384468856697152e-14,-4.5100195422742634e-13,0.9982210846351646
-4.365288635761468e-14,-3.087016635326028e-13,-3.548445595888114e-14,0.9987675019278494
1.5907626908317252e-13,-7.587439140060382e-15,-1.8619485322690325e-13,0.9983436718273823
-5.770529286072338e-13,-9.550884647226343e-13,-2.2134662098335955e-12,0.991971143718055
2.424355219776742e-13,3.4703198724227995e-13,-1.8905011182426672e-13,0.9984351531692235
3.7212297991154774e-13,1.0186828178292818e-12,2.6052585777624717e-13,0.9914068857466544
1.8059501746210335e-13,-6.521530638425475e-14,-2.125426465902839e-13,0.9988382497607909
3.881655144297977e-13,2.2225991027563023e-13,1.8302330012250265e-13,0.999002816280583
8.460893533627069e-14,1.8488416503816325e-12,-1.350287500212998e-12,0.9992948392057422
6.018858361938415e-14,2.498762833644493e-13,-2.54902762871625e-13,0.9943229839816153
2.945197443097652e-13,4.3551427161381885e-13,-1.5447380081583035e-13,0.9988703140351286
-4.1598226069994564e-13,-3.6863311983439647e-13,-4.147962464541433e-13,0.9991731738701165
-3.5772424417226916e-12,-1.1925272365058295e-12,-3.436224851929869e-12,0.9998350527647359
4.77147897624914e-13,2.9152315918211304e-13,5.268966314283542e-13,0.9987600835928404
-2.697627883035416e-14,3.001381365364161e-13,2.2998128193612736e-13,0.9986203587091537
-2.825009590754701e-13,-1.3233706971863715e-13,-5.898388207802184e-13,0.9985907771987117
1.1115033086708822e-13,1.8001947896088386e-13,-9.313893660387652e-14,0.9989935833193114
-3.0582533450820634e-14,2.241016490762781e-13,-1.3224348409910027e-13,0.9977377819667558
-3.954946097811546e-13,-1.2657413270524672e-13,-2.441542586956383e-13,0.9985027521472317
1.346652502735309e-13,2.7782210513679153e-13,-1.7257425045058515e-13,0.9992571773307948
3.781882213235983e-13,7.354398984858118e-13,-4.5091048325427596e-13,0.8020618900841415
4.5210008263791583e-13,6.691268135876183e-13,-4.64113030098962e-13,0.9863367581370198
5.357632678024095e-13,-1.7076012580493256e-13,-9.787761150365804e-13,0.9968889016074869
2.1541406055023703e-13,7.196248952917554e-13,-2.053102243972312e-13,0.9995767214343386
2.8953075786130624e-13,2.8545128206423955e-13,-5.882775926872165e-13,0.9988540280189576
5.905854728536324e-13,3.442726960505229e-13,4.656455979253689e-13,0.9968316816213668
4.5159792943481694e-14,2.0085853667886154e-13,3.920224105461799e-14,0.9984464286983231
-3.256037319985957e-13,6.955667514474816e-13,-4.796337854125004e-13,0.9580072686199629
-3.901592509191611e-13,7.653125619182617e-13,-4.907347344428762e-13,0.9982862629156632
5.079176052179158e-13,-3.4644315383193275e-13,-5.653836768140635e-13,0.9988208336277297
4.5097325907856755e-14,2.5475201683426823e-13,-2.24120868808677e-13,0.9875907662799001
4.015154880143565e-13,4.517695429109031e-13,-2.69715455286995e-13,0.9840505164010238
-2.2812380851550105e-13,-2.4605420435866976e-13,-9.229679231071033e-13,0.9994303546921257
7.122097293505273e-13,5.774188663270807e-13,-3.7984736313682043e-14,0.9997532293741946
1.8576440675549849e-13,6.400516177503659e-13,1.0121125236704848e-13,0.9446460741120593
2.655296473055304e-13,5.627647262864812e-14,5.418449458714054e-15,0.9875016735597009
3.550861792659835e-12,3.0252679846785044e-12,-3.2253885386094203e-12,0.9484349828391121
1.214875462071473e-13,4.2950589966341434e-13,-2.317559518986934e-13,0.9990513142265036
6.599457795136255e-13,2.4339674952945853e-13,-5.97652821791607e-15,0.9997063434167435
2.477835130810242e-13,-5.914805115779211e-14,-2.9973067668428827e-13,0.9956009308299625
4.91540963674277e-13,1.3685265082511258e-14,-2.7237552997698544e-13,0.9994957967104915
2.9042050378162954e-12,-1.4234289189245526e-12,-4.809368877546096e-12,0.9633606535920491
