mx_standard,my_standard,mz_standard,r_2_standard
-6.514067154593912e-13,4.615514266248356e-12,6.255847988988473e-13,0.4402189915237553
6.313871838028764e-12,-1.651077212647879e-11,-1.2956038834594298e-12,0.9124351012737679
1.8048433589675368e-12,-1.5092185869614286e-12,6.334942176056328e-13,0.9856064503477379
-1.2335425404164028e-12,-1.0968758189010165e-12,-1.4327848455889855e-12,0.7942550302223548
1.0411660047283673e-12,-7.147436010613772e-12,-1.6423226354759627e-12,0.6066911790044415
2.386286767945785e-13,7.88418926540395e-13,6.735037432701643e-13,0.9790465409801223
-1.2624207971756621e-12,3.825542174999352e-12,2.725822212633107e-13,0.3569897313974456
8.138735313555494e-12,-1.3075123365680521e-11,2.459551396940769e-12,0.8278732850499011
3.1660534928313396e-12,-4.538593652992754e-12,-1.6809608362700375e-13,0.36510763859512485
-3.7128696996477394e-13,-1.046347595832533e-12,5.65743088005958e-13,0.7025846759205554
1.4808516606615113e-13,1.03419528673637e-12,1.7021147658576398e-12,0.9642240032104701
2.1732026549226617e-12,-2.2128158606182714e-12,-3.446487305356299e-12,0.9604745872001342
-1.977598922057697e-12,-1.8838654245330342e-12,1.613190872748604e-12,0.9773813023708493
1.2282158061181477e-11,1.5769080260976695e-11,5.71618652870461e-13,0.9436670394658616
-1.5559241205036324e-12,8.232206348083431e-13,-1.0056432092870514e-12,0.8531044926328051
-3.5459144400418456e-12,4.269847413111046e-12,2.6411581427731445e-12,0.8958929558766588
-1.163340835649623e-12,2.5428238100689328e-12,6.164749234420505e-13,0.7498417460253355
-2.371545008993189e-12,4.832232029260531e-12,-2.356675908903074e-12,0.8953562907483739
-2.8041738956260644e-12,-3.7029474639702916e-12,-3.860927782751328e-12,0.759018968460969
2.0693868808539367e-12,1.868415078754786e-12,5.507587889946194e-13,0.8878613544852485
-8.057185131069486e-13,1.3237935077915338e-12,-5.290273227798939e-13,0.9755362128197819
1.7750698345988164e-13,1.8674035018066916e-12,1.521988988732303e-12,0.9226361339358412
1.449736081113283e-12,-4.371587236878624e-12,1.458413354856758e-12,0.9599584255990116
1.137643163280445e-12,7.466405925683441e-13,2.365785240114748e-12,0.9760525695352124
-4.137789218787236e-13,-2.3363339353170125e-12,-2.7210291874700483e-12,0.9667173777511567
-1.2878302408055554e-12,1.2875316547181136e-13,1.8966076014725945e-12,0.9841715812417368
-4.4020411603395946e-13,2.0601135540910295e-12,-9.768218767525586e-13,0.26088733328731806
2.4393664380380777e-12,9.2938465295525e-13,1.2558063745083965e-13,0.880178236089603
-2.8740765703222634e-13,8.752548194398231e-13,3.940390442338989e-13,0.2808671647295513
